"","Country","UN_AIDS","IMHE","Population","region"
"37301","Nicaragua",0.3,0.3282539,6663919,"Latin America & Caribbean"
"37560","Niger",0.2,0.2928865,23443400,"Sub-Saharan Africa"
"37819","Nigeria",1.4,1.4521848,203304496,"Sub-Saharan Africa"
"39135","Norway",0.1,0.103371575,5348285,"Europe & Central Asia"
"39755","Oman",0.1,0.072422974,4602769,"Middle East & North Africa"
"40014","Pakistan",0.1,0.055688746,223293280,"South Asia"
"40976","Papua New Guinea",0.9,1.4064538,9542492,"East Asia & Pacific"
"41235","Paraguay",0.3,0.30392995,6530029,"Latin America & Caribbean"
"41495","Peru",0.4,0.36051652,32824864,"Latin America & Caribbean"
"41754","Philippines",0.2,0.40043628,110380800,"East Asia & Pacific"
"42273","Portugal",0.5,0.5761868,10289921,"Europe & Central Asia"
"42652","Qatar",0.1,0.005465067,2807242,"Middle East & North Africa"
"43041","Romania",0.2,0.12776162,19524212,"Europe & Central Asia"
"43559","Rwanda",2.6,2.2299829,12835029,"Sub-Saharan Africa"
"45389","Sao Tome and Principe",0.6,0.018383062,214612,"Sub-Saharan Africa"
"45938","Senegal",0.3,0.46741048,16000783,"Sub-Saharan Africa"
"46197","Serbia",0.1,0.037248496,7401056,"Europe & Central Asia"
"46739","Sierra Leone",1.5,1.6254333,8046830,"Sub-Saharan Africa"
"47329","Slovakia",0.1,0.008867309,5453932,"Europe & Central Asia"
"47588","Slovenia",0.1,0.01746165,2112905,"Europe & Central Asia"
"48106","Somalia",0.1,0.30442515,15981312,"Sub-Saharan Africa"
"48366","South Africa",18.6,19.757635,58087060,"Sub-Saharan Africa"
"49177","South Sudan",2,2.1498163,10447677,"Sub-Saharan Africa"
"49431","Spain",0.3,0.26203322,47131372,"Europe & Central Asia"
"49690","Sri Lanka",0.1,0.013613517,21649664,"South Asia"
"49981","Sudan",0.2,0.4318784,43232092,"Sub-Saharan Africa"
"50240","Suriname",1.3,0.9481527,600305,"Latin America & Caribbean"
"50811","Switzerland",0.2,0.21894006,8575593,"Europe & Central Asia"
"51070","Syria",0.1,0.004009132,20098252,"Middle East & North Africa"
"51588","Tajikistan",0.2,0.070084505,9337008,"Europe & Central Asia"
"51847","Tanzania",4.8,4.2001386,59872584,"Sub-Saharan Africa"
"52106","Thailand",1.2,0.97102106,71307768,"East Asia & Pacific"
"52365","Togo",2,2.0268676,8243093,"Sub-Saharan Africa"
"52952","Trinidad and Tobago",1.1,1.0159713,1519960,"Latin America & Caribbean"
"53196","Tunisia",0.1,0.03931819,12049319,"Middle East & North Africa"
"54380","Uganda",5.5,5.4230876,42949076,"Sub-Saharan Africa"
"54639","Ukraine",0.9,1.0787417,44211100,"Europe & Central Asia"
"55396","United States",0.4,0.5440438,334319680,"North America"
"56047","Uruguay",0.5,0.5630972,3428412,"Latin America & Caribbean"
"56306","Uzbekistan",0.2,0.10324331,32976946,"Europe & Central Asia"
"57016","Venezuela",0.5,0.47017306,28971686,"Latin America & Caribbean"
"57275","Vietnam",0.3,0.43316212,95776712,"East Asia & Pacific"
"58054","Yemen",0.1,0.033471227,31546694,"Middle East & North Africa"
"58439","Zambia",11.6,10.21678,18380478,"Sub-Saharan Africa"
"58699","Zimbabwe",12.5,11.767223,15354606,"Sub-Saharan Africa"
